table,itemtype,http_status,total
glpi_slalevels,Slalevel,400,-
glpi_slalevels_tickets,SlalevelsTicket,400,-
glpi_slas,Sla,400,-
glpi_slms,Slm,200,-
glpi_snmpcredentials,Snmpcredential,400,-
glpi_socketmodels,Socketmodel,400,-
glpi_sockets,Socket,400,-
glpi_softwarecategories,Softwarecategory,400,-
glpi_softwarelicenses,Softwarelicens,400,-
glpi_softwarelicensetypes,Softwarelicensetype,400,-
glpi_softwares,Software,403,-
glpi_softwareversions,Softwareversion,400,-
glpi_solutiontemplates,Solutiontemplate,400,-
glpi_solutiontypes,Solutiontype,400,-
glpi_ssovariables,Ssovariable,400,-
glpi_states,State,200,-
glpi_suppliers,Supplier,200,-
glpi_suppliers_tickets,SuppliersTicket,400,-
glpi_suppliertypes,Suppliertype,400,-
glpi_taskcategories,Taskcategory,400,-
glpi_tasktemplates,Tasktemplate,400,-
glpi_ticketcosts,Ticketcost,400,-
glpi_ticketrecurrents,Ticketrecurrent,400,-
glpi_tickets,Ticket,206,9094
glpi_tickets_contracts,TicketsContract,400,-
glpi_tickets_tickets,TicketsTicket,400,-
glpi_tickets_users,TicketsUser,400,-
glpi_ticketsatisfactions,Ticketsatisfaction,400,-
glpi_tickettasks,Tickettask,400,-
glpi_tickettemplatehiddenfields,Tickettemplatehiddenfield,400,-
glpi_tickettemplatemandatoryfields,Tickettemplatemandatoryfield,400,-
glpi_tickettemplatepredefinedfields,Tickettemplatepredefinedfield,400,-
glpi_tickettemplates,Tickettemplate,400,-
glpi_ticketvalidations,Ticketvalidation,400,-
glpi_transfers,Transfer,200,1
glpi_unmanageds,Unmanaged,200,-
glpi_usbvendors,Usbvendor,400,-
glpi_usercategories,Usercategory,400,-
glpi_useremails,Useremail,400,-
glpi_users,User,206,1422
glpi_usertitles,Usertitle,400,-
glpi_virtualmachinestates,Virtualmachinestate,400,-
glpi_virtualmachinesystems,Virtualmachinesystem,400,-
glpi_virtualmachinetypes,Virtualmachinetype,400,-
glpi_vlans,Vlan,200,-
glpi_vobjects,Vobject,400,-
glpi_wifinetworks,Wifinetwork,400,-
